price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose
4794000,High,Townhouse,5,6,"Sharjah Garden City, Sharjah",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Sharjah Garden City,Sharjah,UAE,25.196622,55.635824,For Sale
1650000,Medium,Apartment,3,4,"Oasis Residences Two, Oasis Residences, Masdar City, Abu Dhabi",Unfurnished,Ready,2024-02-24,129166,Unknown,0,0,0,0,0,Masdar City,Abu Dhabi,UAE,24.42748265,54.6234876171374,For Sale
3300000,High,Townhouse,4,5,"Mira Oasis 1, Mira Oasis, Reem, Dubai",Unfurnished,Ready,2024-03-01,223020,Unknown,0,0,0,0,0,Reem,Dubai,UAE,25.0315993,55.275689057829474,For Sale
5850000,High,Townhouse,4,5,"Arabella 3, Arabella Townhouses, Mudon, Dubai",Unfurnished,Ready,2023-12-11,215498,Unknown,0,0,0,0,0,Mudon,Dubai,UAE,25.0204108,55.2679936,For Sale
480000,Average,Apartment,0,1,"Ajmal Makan, Sharjah Waterfront City, Sharjah",Unfurnished,Off-Plan,2024-04-21,0,Unknown,0,0,0,0,0,Sharjah Waterfront City,Sharjah,UAE,25.503021,55.521243,For Sale
1554000,Medium,Apartment,3,4,"Sokoon 5, Sokoon, Naseej District, Aljada, Sharjah",Unfurnished,Off-Plan,2023-11-20,0,Unknown,0,0,0,0,0,Aljada,Sharjah,UAE,25.31816755,55.47543407937037,For Sale
897000,Average,Apartment,0,1,"Gardenia Bay, Yas Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-19,0,Unknown,0,0,0,0,0,Yas Island,Abu Dhabi,UAE,24.48640395,54.60907120866904,For Sale
1550000,Medium,Apartment,1,2,"Sobha One, Ras Al Khor Industrial 1, Ras Al Khor Industrial, Ras Al Khor, Dubai",Unfurnished,Off-Plan,2024-04-08,0,Unknown,0,0,0,0,0,Ras Al Khor,Dubai,UAE,25.1939625,55.3392449,For Sale
750000,Average,Apartment,1,2,"Arena Apartments, Dubai Sports City, Dubai",Unfurnished,Ready,2024-04-22,0,ARENA APARTMENTS,2015,0,11,160,0,Dubai Sports City,Dubai,UAE,25.0321379,55.219353,For Sale
850000,Average,Apartment,2,3,"Radiant Boulevard, Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",Unfurnished,Off-Plan,2024-04-17,0,Unknown,0,0,0,0,0,Al Reem Island,Abu Dhabi,UAE,24.4935984,54.40784050903402,For Sale
2800000,Medium,Townhouse,4,5,"Samra Community, Al Raha Gardens, Abu Dhabi",Unfurnished,Ready,2024-02-14,140087,Unknown,0,0,0,0,0,Al Raha Gardens,Abu Dhabi,UAE,24.42772055,54.55168867992076,For Sale
2088000,Medium,Townhouse,3,4,"Hayyan, Barashi, Sharjah",Unfurnished,Off-Plan,2024-04-17,0,Unknown,0,0,0,0,0,Barashi,Sharjah,UAE,25.290392,55.582488,For Sale
365000,Average,Apartment,0,1,"Blue Pearls, Ajmal Makan, Sharjah Waterfront City, Sharjah",Unfurnished,Off-Plan,2024-04-22,0,Unknown,0,0,0,0,0,Sharjah Waterfront City,Sharjah,UAE,25.503021,55.521243,For Sale
5500000,High,Apartment,4,5,"Trident Waterfront, Dubai Marina, Dubai",Unfurnished,Ready,2024-04-22,0,WATERFRONT,2009,0,21,170,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale
1290000,Average,Apartment,2,3,"Samana Golf Views, Dubai Sports City, Dubai",Furnished,Off-Plan,2024-03-29,0,Unknown,0,0,0,0,0,Dubai Sports City,Dubai,UAE,25.0321379,55.219353,For Sale
